IA_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING,EASTING,DRNAREA,PRECIP,SOILB,SOILC,SOILD,RSD,HYSEP,STREAM_VAR
05454000,Rapid Creek near Iowa City.  IA,0.026156935,460133.3333,0,0.058633237,4617575.181,625835.9107,25.27791,36.24774,98.974,0.681,0,0.301532,51.26038,0.568935
05454220,Clear Creek near Oxford.  IA,0.024506671,368106.6554,0,0.061039315,4619271.993,604795.6205,60.799027,35.7122,87.24,5.885,0,0.403987,50.34265,0.58683
05454300,Clear Creek near Coralville.  IA,0.028506609,445789.6447,0,0.061745981,4614827.962,616632.585,98.175702,35.7684,85.429,4.871,0,0.378624,50.34265,0.586374
05455100,Old Mans Creek near Iowa City.  IA,0.028265909,372176.3064,0,0.066274432,4607002.717,615347.5589,201.423851,36.0927,87.391,11.465,0,0.358816,50.44253,0.602667
05455500,English River at Kalona.  IA,0.029431371,442493.5659,0,0.066103798,4591701.995,607333.0275,574.104536,35.86659,73.07,24.413,1.396,0.339895,47.01748,0.625796
05457000,Cedar River near Austin.  MN,0.046235338,390804.7557,0,0.092937511,4831577.407,502045.8144,397.662926,32.98923,84.691,6.928,3.421,0.314926,59.01181,0.437934
05457700,Cedar River at Charles City.  IA,0.055581685,403984.5785,0,0.10596059,4767773.029,526554.3771,1074.952864,33.49369,88.344,6.177,2.786,0.335537,58.13491,0.443524
05458000,Little Cedar River near Ionia.  IA,0.045064071,383436.3631,0,0.099959701,4764630.126,540443.5147,294.958191,34.32441,86.685,11.622,0.363,0.319191,58.87963,0.442997
05458500,Cedar River at Janesville.  IA,0.045651135,387163.5598,0,0.105870934,4721900.659,543839.6646,1670.928514,33.89844,88.64,6.512,1.984,0.33955,58.11631,0.445699
05458900,West Fork Cedar River at Finchford.  IA,0.034428148,368106.6667,0,0.100830645,4719765.559,537429.6314,850.508554,33.97578,96.096,0.893,0.3,0.375924,57.45948,0.533697
05459500,Winnebago River at Mason City.  IA,0.05382187,460133.3333,0,0.100203375,4779151.779,484335.1124,516.758873,33.16817,85.462,3.871,1.354,0.451766,57.39195,0.534975
05462000,Shell Rock River at Shell Rock.  IA,0.050874641,403215.5103,0,0.107667576,4728909.615,534150.0792,1730.929585,33.69052,87.069,4.903,1.168,0.389864,57.21862,0.512521
05463000,Beaver Creek at New Hartford.  IA,0.027954439,354925.0448,0,0.092643006,4713442.961,531353.5443,351.391329,34.52706,97.528,1.158,0.256,0.337076,57.33629,0.558106
05463500,Black Hawk Creek at Hudson. IA,0.023714552,276080.0011,0,0.087108621,4695190.883,544167.9206,298.316449,34.57362,97.997,1.151,0.241,0.3457,54.53788,0.541629
05464000,Cedar River at Waterloo.  IA,0.048294721,436148.2698,0,0.10774204,4705012.661,554697.7324,5149.461583,33.94198,90.147,4.105,1.126,0.354721,57.39011,0.486267
05464220,Wolf Creek near Dysart.  IA,0.026337519,352383.45,0,0.089869895,4677956.194,557842.664,298.120908,35.12914,97.761,1.845,0,0.355914,54.09604,0.54984
