IL_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLon,SON.Precip,AWC,Drain.Index,STAT.Perm,PermBXThick
03381500,Little Wabash River at Carmi.  IL,0.051704517,671568.9765,0,,1697636.343,680808.7434,3102.745111,88.445,3.426199931,17.98467218,3.594075574,0.695906067,116.9127106
03382170,Brushy Creek near Harco.  IL,0.042571985,733502.6454,0,,1662386.922,640441.6233,13.130297,88.717345,3.567863073,17.50189978,5.928820139,0.869611116,22.04120104
05415000,Galena River at Buncombe.  WI,0.036893837,665175.3183,0,,2181924.933,458853.403,124.669131,90.328544,2.854315217,19.38929152,15.90314319,1.302373878,2.5
05420000,Plum River below Carroll Creek near Savanna.  IL,0.039951057,630788.1015,0,,2138955.516,484652.241,230.347753,89.93856,2.95162805,18.08073711,12.9375931,1.290187771,104.7698628
05437000,Pecatonica River at Shirland.  IL,0.074480472,816091.7362,0,,2179582.428,555675.0433,2548.729697,89.737676,2.859975369,17.06180695,14.78262089,1.822063603,343.6813133
05438250,Coon Creek at Riley.  IL,0.094945786,734578.3909,0,,2154687.957,603204.8644,86.048858,88.568758,2.984036942,18.95573536,10.40592918,2.546790706,2797.341773
05438500,Kishwaukee River at Belvidere.  IL,0.075953606,879094.9946,0,,2161502.966,584483.3949,534.802064,88.599953,2.98279635,18.72222533,11.26491665,3.00565506,6695.971516
05439000,South Branch Kishwaukee River at Dekalb.  IL,0.091319111,743378.2743,0,,2125895.784,595607.7454,74.741025,88.832301,2.995698653,20.70310731,4.40918064,1.399866482,291.1703378
05440500,Killbuck Creek near Monroe Center.  IL,0.06614891,627755.6057,0,,2142981.225,570140.9881,118.087842,88.983421,2.957453559,19.77224366,9.934960301,1.360154765,1752.561246
05441000,Leaf River at Leaf River.  IL,0.13031371,1252748.629,0,,2144022.316,542242.0154,103.280655,89.506974,2.906363317,20.3703991,10.03736499,1.61037864,222.1413648
